Category,Metric,Value
% of SCR intakes,Asian/ Pacific Islander nonHispanic,1.0
% of SCR intakes,Multiple Race nonHispanic,3.2
% of SCR intakes,Other/Unknown,0.8
% of Indicated Investigations,Total,8.66
% of Indicated Investigations,African American/Black non-Hispanic,11.4
% of Indicated Investigations,Hispanic/Latinx,6.8
% of Indicated Investigations,White non-Hispanic,7.7
% of Indicated Investigations,Asian/ Pacific Islander nonHispanic,4.5
% of Indicated Investigations,Multiple Race nonHispanic,10.9
% of Indicated Investigations,Other/Unknown,6.7
Article X Foster Care Entries,Total,2473
Article X Foster Care Entries,African American/Black non-Hispanic,1197
Article X Foster Care Entries,Hispanic/Latinx,947
Article X Foster Care Entries,White non-Hispanic,134
Article X Foster Care Entries,Asian/ Pacific Islander nonHispanic,73
Article X Foster Care Entries,Multiple Race nonHispanic,113
Article X Foster Care Entries,Other/Unknown,9
% of SCR intakes,Total,2.7
% of SCR intakes,African American/Black non-Hispanic,3.4
% of SCR intakes,Hispanic/Latinx,2.3
% of SCR intakes,White non-Hispanic,2.1
% of SCR intakes,Asian/ Pacific Islander nonHispanic,1.4
% of SCR intakes,Multiple Race nonHispanic,3.9
% of SCR intakes,Other/Unknown,0.5
% of Indicated Investigations,Total,9.72
% of Indicated Investigations,African American/Black non-Hispanic,12.1
% of Indicated Investigations,Hispanic/Latinx,8.0
% of Indicated Investigations,White non-Hispanic,9.4
% of Indicated Investigations,Asian/ Pacific Islander nonHispanic,6.3
% of Indicated Investigations,Multiple Race nonHispanic,13.2
% of Indicated Investigations,Other/Unknown,4.3
